2023-10-10 09:38:46,691 INFO     preparing training data ...
2023-10-10 09:40:53,272 INFO     finish preparing
2023-10-10 09:40:53,272 INFO     trials:1/200
2023-10-10 09:40:54,857 INFO     ==> pid: 0, proparams_dict: {'batch_size': 256, 'dim': 1000, 'n_neg': 2048, 'regularizer': 'DURA', 'loss_function': 'CE', 'initializer': 'xavier_normal', 'lr': 0.006623761705385512, 'regu_weight': 2.2396796295517288e-08, 'advs': 0, 'dropoutRate': 0.016840726667801908, 'gamma': 5.548563324073734, 'optimizer': 'adam', 'shareInverseRelation': True, 'training_mode': 'negativeSampling', 'label_smooth': 0.0, 'filter_falseNegative': True, 'embedding_range': 0.01} 

2023-10-10 09:40:54,975 INFO     ==> pid: 0, num_parameters for TADistMult: 18779002
2023-10-10 09:43:52,979 INFO     ==> pid: 0, No.1000 iter, val mrr=0.38198114555095497
2023-10-10 09:44:30,423 INFO     ==> pid: 0, No.1000 iter, test mrr=0.3804421828451362, hits@1=0.2645, hits@3=0.4311, hits@10=0.6129
2023-10-10 09:47:26,683 INFO     ==> pid: 0, No.2000 iter, val mrr=0.40246117620032534
2023-10-10 09:48:01,176 INFO     ==> pid: 0, No.2000 iter, test mrr=0.40132375523970465, hits@1=0.2827, hits@3=0.4544, hits@10=0.6403
2023-10-10 09:50:48,985 INFO     ==> pid: 0, No.3000 iter, val mrr=0.41160545570384366
2023-10-10 09:51:22,595 INFO     ==> pid: 0, No.3000 iter, test mrr=0.4101591535633962, hits@1=0.2890, hits@3=0.4669, hits@10=0.6526
2023-10-10 09:54:28,607 INFO     ==> pid: 0, No.4000 iter, val mrr=0.41848182750310847
2023-10-10 09:54:52,837 INFO     ==> pid: 0, No.4000 iter, test mrr=0.41629705416544666, hits@1=0.2938, hits@3=0.4741, hits@10=0.6615
2023-10-10 09:58:12,953 INFO     ==> pid: 0, No.5000 iter, val mrr=0.4211889774038588
2023-10-10 09:58:37,375 INFO     ==> pid: 0, No.5000 iter, test mrr=0.41845518399445164, hits@1=0.2949, hits@3=0.4779, hits@10=0.6649
2023-10-10 10:01:53,705 INFO     ==> pid: 0, No.6000 iter, val mrr=0.42456217849178757
2023-10-10 10:02:18,917 INFO     ==> pid: 0, No.6000 iter, test mrr=0.4247810760334225, hits@1=0.3011, hits@3=0.4851, hits@10=0.6707
2023-10-10 10:05:40,428 INFO     ==> pid: 0, No.7000 iter, val mrr=0.42731746987466657
2023-10-10 10:06:04,817 INFO     ==> pid: 0, No.7000 iter, test mrr=0.42746971543766443, hits@1=0.3030, hits@3=0.4884, hits@10=0.6740
2023-10-10 10:09:22,730 INFO     ==> pid: 0, No.8000 iter, val mrr=0.42681505231217587
2023-10-10 10:11:54,153 INFO     ==> pid: 0, No.9000 iter, val mrr=0.42647239083905264
2023-10-10 10:14:49,073 INFO     ==> pid: 0, No.10000 iter, val mrr=0.42510000596434827
2023-10-10 10:17:44,851 INFO     ==> pid: 0, No.11000 iter, val mrr=0.4552073226886226
2023-10-10 10:18:15,500 INFO     ==> pid: 0, No.11000 iter, test mrr=0.4533579732852776, hits@1=0.3296, hits@3=0.5178, hits@10=0.6957
2023-10-10 10:21:30,148 INFO     ==> pid: 0, No.12000 iter, val mrr=0.45738447289004125
2023-10-10 10:22:06,817 INFO     ==> pid: 0, No.12000 iter, test mrr=0.4563550586556858, hits@1=0.3327, hits@3=0.5214, hits@10=0.6984
2023-10-10 10:25:14,421 INFO     ==> pid: 0, No.13000 iter, val mrr=0.4543033502626949
2023-10-10 10:28:29,761 INFO     ==> pid: 0, No.14000 iter, val mrr=0.45671567288096737
2023-10-10 10:31:29,186 INFO     ==> pid: 0, No.15000 iter, val mrr=0.4588506779028457
2023-10-10 10:32:03,108 INFO     ==> pid: 0, No.15000 iter, test mrr=0.4562049958285001, hits@1=0.3319, hits@3=0.5223, hits@10=0.6980
2023-10-10 10:35:07,802 INFO     ==> pid: 0, No.16000 iter, val mrr=0.4563724438078838
